CITY,CIRCLE,STD
BIKAPUR,UTTAR PRADESH(EAST)  ,5270  
BIKRAM,BIHAR & JHARKHAND  ,6135  
BIKRAMGANJ,BIHAR & JHARKHAND  ,6185  
BILARA (N) (BHOPALGARH),RAJASTHAN  ,2920  
BILARA (S) (PIPARCITY),RAJASTHAN  ,2930  
BILARI,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5921  
BILASIPARA,ASSAM  ,3667  
BILASPUR,MADHYA PRADESH & CHHATTISGARH  ,7752  
BILASPUR,HIMACHAL PRADESH  ,1978  
BILGAM-I (MADHOGANJ),UTTAR PRADESH(EAST)  ,5851  
BILGRAM-II (SANDI),UTTAR PRADESH(EAST)  ,5855  
BILHAUR,UTTAR PRADESH(EAST)  ,5112  
BILIGI,KARNATAKA  ,8425  
BILLIMORA,GUJRAT  ,2634  
BILLOLI,MAHARASHTRA  ,2465  
BINA,MADHYA PRADESH & CHHATTISGARH  ,7580  
BINDKI,UTTAR PRADESH(EAST)  ,5181  
BIRMAHARAJPUR,ORISSA  ,6651  
BIRPARA,WEST BENGAL & ANDAMAN NIKOBAR  ,3563  
BIRPUR,BIHAR & JHARKHAND  ,6471  
BIRSA,MADHYA PRADESH & CHHATTISGARH  ,7637  
BIRSINGHPUR,MADHYA PRADESH & CHHATTISGARH  ,7655  
BISALPUR,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5881  
BISAM CUTTACK,ORISSA  ,6863  
BISAULI,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5834  
BISHENPUR,NORTH EAST  ,3879  
BISHNUPUR,WEST BENGAL & ANDAMAN NIKOBAR  ,3244  
BISHRAMPUR,BIHAR & JHARKHAND  ,6584  
BISWAN,UTTAR PRADESH(EAST)  ,5863  
BITRA,KERALA  ,4890  
BOATH (ECHODA),ANDHRA PRADESH  ,8751  
BOBBILI,ANDHRA PRADESH  ,8944  
BODHAN,ANDHRA PRADESH  ,8467  
BODLA,MADHYA PRADESH & CHHATTISGARH  ,7740  
BOKABAND,MADHYA PRADESH & CHHATTISGARH  ,7867  
BOKAJAN,ASSAM  ,3675  
BOKAKHAT,ASSAM  ,3776  
BOKARO,BIHAR & JHARKHAND  ,6542  
BOKO,ASSAM  ,3621  
BOLPUR,WEST BENGAL & ANDAMAN NIKOBAR  ,3463  
BOLWA,BIHAR & JHARKHAND  ,6539  
BONGOAN,WEST BENGAL & ANDAMAN NIKOBAR  ,3215  
BONLI,RAJASTHAN  ,7466  
BORIGUMA,ORISSA  ,6860  
BORSAD,GUJRAT  ,2696  
BOTAD,GUJRAT  ,2849  
BOUDH,ORISSA  ,6841  
BRAHMAPURI,MAHARASHTRA  ,7177  
BUBULCHANDI,WEST BENGAL & ANDAMAN NIKOBAR  ,3511  
BUDHANA,UTTAR PRADESH(WEST) & UTTARAKHAND  ,1392  
BUDHNI,MADHYA PRADESH & CHHATTISGARH  ,7564  
BUGUDA,ORISSA  ,6818  
BULANDSHAHR,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5732  
BULDHANA,MAHARASHTRA  ,7262  
BUNDI,RAJASTHAN  ,747  
BUNDU,BIHAR & JHARKHAND  ,6530  
BURDWAN,WEST BENGAL & ANDAMAN NIKOBAR  ,342  
BURHANPUR,MADHYA PRADESH & CHHATTISGARH  ,7325  
BUTIBORI,MAHARASHTRA  ,7103  
BUXAR,BIHAR & JHARKHAND  ,6183  
BUXWAHA,MADHYA PRADESH & CHHATTISGARH  ,7609  
CALICUT,KERALA  ,495  
CANACONA (QUEPEM),MAHARASHTRA  ,8346  
CANNANORE,KERALA  ,497  
CANNARAYAPATNA,KARNATAKA  ,8176  
CANNING,WEST BENGAL & ANDAMAN NIKOBAR  ,3218  
CAPTANGANJ (KHADDA),UTTAR PRADESH(EAST)  ,5563  
CAPTANGANJ-I (CAPTANGANJ),UTTAR PRADESH(EAST)  ,5567  
CHAAHARAULI,HARYANA  ,1735  
CHACHAURA,MADHYA PRADESH & CHHATTISGARH  ,7546  
CHADCHAN,KARNATAKA  ,8422  
CHAIBASA,BIHAR & JHARKHAND  ,6582  
CHAINPUR,BIHAR & JHARKHAND  ,6586  
CHAINPUR,BIHAR & JHARKHAND  ,6535  
CHAKAI,BIHAR & JHARKHAND  ,6347  
